sn,comment,user,loc,thumbups
107940892,"A friend mentioned how she has presented the situation and I think any reasonable person would think persuasive:

If I'm right & you are wrong, you might unknowingly kill someone.  If you are right and I'm wrong, I might experience a few minutes of bearable discomfort.",16021966,Atlanta GA,4
107939560,"A woman behind me on line for a grocery store today was too close about 2 ft from me and had no mask. My town has a ""face covering"" ordinance including when standing on line outside.  Out governor has a similar public health order.  When I told the woman that she was too close, she said it didn't matter.  When I said it mattered to me that she was too close without a  mask,  she told me to stop gripping.  It was obvious she did not care about me and I told her that.  She kept repeating Have a nice day or shut up---What a RAH as Holden Caufield would have said.",12764179,santa fe nm,2
107940548,"Lead, follow, or get out of the way. Trump is not leading or following literally causing people to die because he has not gotten out of the way. Many more will die before he is out of office. Think long and hard if you voted for him when all the evidence of his immortality and incompetence was out there. We can afford to have a fool for president just because he validate your prejudices and bad science.",55006778,Austin,0
107940741,These no mask people are the same blockheads who used to give me a hard time for wearing glasses.,59545008,NYC,3
107941792,The only people complaining about wearing masks are the people NOT wearing them. This is how far we’ve gone down the rabbit hole of ignorance.,65032288,NYC,1
107941818,"As to those who refuse to wear masks out in public because the wearing of masks denotes some elitism, I’m getting kind of sick and tired of this false trope. Why is it elitist to be educated and well informed? Why is it elitist to follow simple hygiene towards others? Has the notion of liberty been so distorted to mean one can take all fellow citizens for granted as long as you feel unencumbered? It use to be aspirational to want your children to be better educated and informed than oneself, to have a better life for all. Now it’s looking out for oneself, all others be damned. Unfortunately, this didn’t start with Trump, it’s been festering since the 70’s, Trump is just the triumph of the ignorant minority.",55534651,"East Windsor,nj",16
107940423,"It's just a mask?
It's just two weeks.
It's just non-essential businesses.
It's just to keep from overwhelming the hospitals.
It's just until cases go down more.
It's just to keep others from being scared.
It's just for a few more weeks.
It's just communion or singing. You can still meet.
It's just until we get a vaccine.
It's just a few side effects.
It's just a bracelet.
It's just to let people know you're safe to be around.
It's just for the coronavirus vaccine.
It's just an app.
It's just to let others know who you've been in contact with.
It's just a few more months.
It’s just a video.
It’s just an email account.
It's just for protecting others from hate speech.
It's just a few people.
It's just a credit card company. You can use cash.
It's just a few places that don't take cash.
It's just a little chip.
It’s just for medical information and paying for things.
It’s just so you can travel.
It’s just so you can get your driver’s license.
It’s just so you can vote.
It's just for a few more years.
It's just a statue.
It's just a building.
It's just a song.
It’s just a piece of paper.
It's just a flag.
It's just a piece of cloth.
It's not just a piece of cloth.

It's not just a mask.",129539569,Earth,8
107939729,"I wear a seatbelt but I feel ridiculous wearing a mask because there's ""no direct evidence"" it works, according to WHO as linked in your article, and the extent of asymptomatic transmission is ""unclear"" says CDC. I don't do stuff unless there is an intellectual argument, or some valid thought process. The brainlessness of this is actually alarming to me.",71812884,Boston,4
107939893,"I live in the DC area, and I hope that trump's salute to america does not bring hoards of his anti-masker supporters to the area. He insisted on having it still go on. DC's covid reproductive rate is not bad at all, although Maryland's is going up.

Biden supporters: stay home, go nowhere near the Mall. We need you.",75047746,in NYCitayy,9
107939951,"I would like to draw attention to an often overlooked problematic issue in Jesse Wegman's editorial.

Jesse Wegman writes, ""If all Americans were required to wear masks in public, we could reduce the number of daily cases to a level that would otherwise require lockdowns that would slash nearly 5 percent, or $1 trillion, from the nation’s gross domestic product, according to an analysis released this week by Goldman Sachs.""

Wegman doesn't explain who would enforce this? If he has the police in mind, that raises the problem of police attempting to interact with people who may not want or even consent to such interaction.
The police has a history of violence. And they also have a vicious record of arresting innocent people. This is far worse for blacks or other minorities.
When a person proposes that the government impose some policy, they might be thinking of a ""benign government,"" but in reality, it has a long rap sheet of evil.",95469526,California,3
107941185,"It is interesting to note the quote: ""members of the Church of Secular Science bow to the Gods of Data by wearing a mask as their symbol, demonstrating that they are the elite; smarter, more rational, and morally superior to everyone else.”
Just as with Trump everything is reversed to preserve tribal identity. It is a ""religion"" to reject science and technical expertise but the shoe has to be put on the other foot, as in technical-minded people are the tribalists. This creates the false equivalence that we are all just rationalizing.",13791667,Brooklyn,2
107941348,"“Mask-wearing has become a totem, a secular religious symbol,” Alex Castellanos, a longtime Republican strategist, told The Washington Post. “Christians wear crosses, Muslims wear a hijab, and members of the Church of Secular Science bow to the Gods of Data by wearing a mask as their symbol, demonstrating that they are the elite; smarter, more rational, and morally superior to everyone else.”

Wow; where to begin?

As someone scientifically educated and employed, it's clear that Castellanos is neither, so his ignorant insults, while typical of Trumpublicans, are just that---ignorant. He tries to caricature science as a church ""bow to the Gods of Data""?! because he in fact has no idea how scientific or perhaps even rational thought proceeds. A man who sees life as a zero-sum battle of verbal invective is probably incapable of imagining that other humans think and live differently.

In particular, he's probably incapable of considering that many of us regard mask-wearing as something that has nothing to do with political identity. A lifelong Independent, I have health issues that necessitate caution, but more than anything I regard mask-wearing as a matter of civic duty and concern for my fellow citizens, the exact opposite of regarding myself as ""superior"" to others.

Mr. Castellanos should switch to decaf and keep his mouth shut in public unless his employer has hired him specifically to drive away potential voters.",45104504,Sinope,9
107940935,"I am an anesthesiologist. I am an expert at placing the breathing tubes people need when they are too sick with COVID-19. My colleagues along with our Certified Registered Nurse Anesthetists implore you to wear a mask. We wear n95 masks for hours on end and if you think your mask it uncomfortable, makes it hard to breath and hard to communicate, try strapping an uncomfortable pillow to your face. 
Simple face masks do limit the spread of this disease. Take it from me because I've seen it often; death is never pleasant and rarely welcome. Death on a ventilator is worse. Protect yourself and others in your community and think of all the healthcare workers who will have to care for you and expose themselves to you because you didn't want to wear a mask. You do not have the right to spread disease and death. Just wear it.",77624529,Pennsylvania,32
107939041,"Great column.  Now, if only the right people would read it.

I recently read a poll about why people do or do not wear masks. A sizable proportion of those who didn't wear masks said it was because they weren't effective.  If seeing is believing, take a look at this video of someone speaking and yelling with and without a mask. the ""mask"" was a slightly damp washcloth.  Click on link to article, then on video.
<a href=""https://www.nejm.org/doi/full/10.1056/NEJMc2007800"" target=""_blank"">https://www.nejm.org/doi/full/10.1056/NEJMc2007800</a>",51024548,Denver,1
107939845,"Common courtesy? In Trump's America? What a quaint idea. Patriotism? Patriotism is waving a flag, toting an Uzi, and shooting people you don't like; it is not being mindful of the health and safety of those around you. I'd like to tell the anti-mask faction that their right to die does not give them the right to kill me or mine, but that wouldn't be courteous now, would it? And it certainly wouldn't be patriotic because it's an idea based on preserving lives, not taking them.",51639494,"Flemington, NJ",6
107940534,Leave it to Trump and his followers to make a simple thing like  wearing a mask a political statement.,59545008,NYC,8
107939625,"Yes.  It's not complicated:  wear a quality N95 mask!

If a quality  N95 mask protects medical personnel, it will protect you.  

Don't let your health depend on the behavior of your neighbor.  Protect yourself.  If you remain virus free, you won't infect others.

Yes, we need hundreds of millions of quality N95 masks.",58309940,novato ca,5
107939750,"Maybe run ads with pictures of people wearing masks in 1918 and the caption, ""Even your great-grandfather knew about this simple way to reduce transmission of aerosol-borne diseases!""",26422750,Hamilton ON,7
107939445,"Here in Los Angeles, an extraordinary number of people seem to be under the impression that merely wearing the mask around  your neck is sufficient, as does every single LAPD officer that I have seen since this began.

The height of selfishness.  Why can't we be a ""we"" country, like Japan?

The US is now a third world mess, possibly worse.",66892385,Los Angeles,10
107939906,"Only one side sees “mask-no mask as a political statement. Those of us with brains view this as a civic responsibility to protect the health of others. You want to make health a political deal, go ahead...and, you’re welcome!",82409470,The Great Flyover,5
107941194,This entire mask mess says more about the individual than the virus.,68938663,Midwest,9
107939394,Fully support Trump not wearing a mask…as he should stand by his principles and gut.  He is always right in trusting his gut. Trump refusing to wear a mask is good for the country as it increases the risk that he comes down with the corona virus.  Fervently hope he becomes infected with the virus to give him first firsthand knowledge of how it feels to be infected.  It will be the only positive thing he has done during this crisis.,28549901,TX,3
107939511,This is not all Trump's fault. Trump lied. Even his loyal followers know he lies constantly. The governors made the choice whether to close or reopen. We made the choice whether or not to wear masks. We as individuals make our own choices. We all have brains. Whether or not we choose to use them is on us. Not Trump or anyone else.,78899448,"Anchorage, AK",2
107940287,"Trump missed his W moment in stepping up to take on the COVID19 threat. He could have corralled a big group of leaders and celebrities to lead the charge and fire up Americans. But, no. For a self professed genius businessman he passed up a great opportunity which says something about his business acumen. If more Americans followed the English version of foreign news media they would see what is going on in the rest of the world. Mask wearing is a given in Asia - to fight pollen, pollution and more before COVID. A billion people can't be wrong.",60949197,Hawaii,1
107940403,"Yes, it's a given, the mask logic is obvious.    If we had a real President, a leader, I'll bet all he would have had to do in March was to ""declare war on the Corona virus"".    Like the war on  drugs, war on crime, war on cancer, etc.   People love going to ""war"".  It's a macho and unifying thing.  It might have worked, maybe it's not too late?",50548072,Chicago,1
107941155,"We should all take a moment to realize that IF, like other countries, we had used the last 5+ months to prepare, and now had ample N95 masks for *everyone,* everyone would be significantly safer. Including ample training and guidance on how to use them. 

Essential workers would be safer, children and grandchildren would be safer, voting in person would be safer, re-openings would be safer. We most assuredly wouldn't be seeing the spike we are currently experiencing. 

We EASILY could have met this goal, but Trump's catastrophic mismanagement and negligence, along with his callous, sociopathic indifference mean that 5+ months into Covid-19, we still don't have adequate PPE for First Responders, still don't have adequate testing, forget functional contact tracing.

As a result, instead of being the gold standard in the face of Covid-19, because of Trump, we are a cautionary tale of how Rep-limited gov Plus the election of an orange insane conman has led to over 120,000+ dead Americans that if Trump's response was even marginally competent, never had to die. 

Instead we are using homemade masks..... One of the wealthiest, most tech adv countries in the world, even with 5+ long months, still can't provide its citizens adequate N95 masks nearly every other dev country is able to provide their citizens. 

120,000+ deaths is how bad Trump has failed America....

Lets give him a party to celebrate his rule, putting Trump beside other actually great men of Mt. Rushmore ! 


.",94204600,MN,0
107941695,When citizens take even the suggestion of wearing a mask as a threat to their human dignity they have confused personal freedom with the enshrinement of adolescent narcissism.,75935777,Los Angeles,11
107939531,Hospital beds should be reserved for people who wore masks,9606929,PA,3
107939918,"If someone refuses to wear a mask in a store, don't confront them and start a physical altercation. Just refuse to check out their items at the register. No mask, no service. You're breaching social distancing when wrestling on the floor showing how righteous you are.",81050575,"Bellingham, Washington",0
107939629,"Wear a mask AND social distance because... it's EASY... if there is even half-decent evidence that it will help reduce the impact of COVID, get people back to work and the economy moving quicker..

Just do it because it's the easiest thing you could do... 

Talk about American privilege... wasting all this time fighting about something that is completely irrelevant compared to the fact that people are sick and dying.",82202242,Los Angeles,5
107939716,"Please some company make masks with the word ‘RESPECT’ across the front.  That is what is needed.  People need to respect others’ right not to get sick unnecessarily and die before their time.  They need to respect the world, the science, and each other, as the pandemic us out of control. How can you say your Pro life and be okay with Republican leadership that are okay with tens of thousands dying in our country, while other countries have 10 times fewer needless Covid deaths. Nor can they say they are ‘law and order’ when they support a president who has broken our laws and us so chaotic and disorderly, we still don’t have enough masks for the front line workers 6 months later from when the N95 company said they would scale up if asked by their country.  You can not say you are patriotic if you don’t abhor what Trump has done in allowing Russia to put bounties on our soldiers heads and then continue to invite them to the White House and to be included in the G7 plus pulling troops out of Germany.  Trump has NO respect for our Constitution, nor the rule of law, nor our checks and balances to his power.  He cares little about anyone else but himself unless in doing so he can maintain power and wealth.  Our country is being held hostage by this aristocracy of greed and corruption and we want our country to be better than this.  We need it to be better than this.  Justice will be served. The day of reckoning will come.",32790096,"Albany, NY",1
107939782,Mask it or casket,135126794,California,8
107941236,"The medical literature does not support that wearing a mask in public reduces virus transmission. Don't believe me; believe doctors in the Department of Public Medicine at Harvard Medical School.  They wrote in an article published in the New England Journal of Medicine, May, 2020 <a href=""https://www.nejm.org/doi/full/10.1056/NEJMp2006372"" target=""_blank"">https://www.nejm.org/doi/full/10.1056/NEJMp2006372</a>, 
""We know that wearing a mask outside health care facilities offers little, if any, protection from infection... In many cases, the desire for widespread masking is a reflexive reaction to anxiety over the pandemic.""",77220487,"North Hampton, NH",2
107941830,"The willful ignorance of Republicans and their supporters is horrifying.  They accuse Dems of politicizing Covid-19, but they politicize mask wearing.  Unreal.  There is a clear divide between sane rational people and Republicans. I’m not sure the country will survive this, which is what Russia and China want",68292290,USA,1
107941860,"Sadly you're preaching to the converts. The antimaskers are the new antivaxxers, except even more deadly and more delusional.

 They believe that the act of saving lives of others is really a tyrannical ploy by the ""Dems"" and the deep state to take away their freedom. They believe that *they* are the real heroes defending the Constitution. 

The above are the more rational antimaskers. Many are even more delusional - they believe that the masks are a part grand conspiracy theory involving George Soros, Bill Gates and other actors. These are the Qannon types who see any attempt to control COVID as a satanic ploy. These are the folks who burst in grocery stores without a mask often yelling racist slurs.

No amount of reasoned arguments will convince those people.",46382827,California,4
107940232,"Mr. Wegman says that masks are proven to work, but links to an article that says the WHO says there is no direct evidence masks work. Can we get adhere to a higher standard of journalism?",71812884,Boston,2
107940266,"Imagine it’s London, World War II, the time of the blitz, and there are some Britons saying: “The heck with you and your air-raid blackouts.  I’m not going to keep calm and carry on when my freedom is in peril: I like to read at night, it’s a free country, and I’m turning on my lights.”",65420225,Princeton,7
107940711,"It's not just technical. It's common sense. And  if you see that your leader/captain /sargeant or whoever doesn't have that, you by yourself are going into trouble. Everybody knows that. I don't understand.",132470181,Germany,1
107940801,"To ""Bow to the gods of Data"" is apparently a bad thing to Mr. Republican strategist.

A wonder this whole coronavirus thing isn't turning out better for the good ol' USA.",7833663,DC,1
107941424,"If I wear a mask, it protects  you from me. If you wear a mask it protects me from you. Fair trade; good citizenship. I'm willing. Someone tell that to King Donald the Incompetent. Not that he'd listen....",48911378,NJ,2
107941501,"The purpose behind wearing a mask is to protect others, not you.  That means putting others equal with, if not before, yourself.  That is not a thought an egotistical narcisst ever had or could have, so it was obvious that Trump would not wear a mask.",82148734,"Frankfurt, Germany",1
107940189,"Mr. Wegman,   you need to message it differently.   ""The Bible tells you to wear your mask"" might actually resonate with people in places like Texas and Florida.",67472331,CT,1
107939965,Do not wear a scarf or bandana!  They are just a little better than nothing.  Wear a real face mask without an exhale port.,51081186,"Queens, NY",0
107940265,"Seriously America, get it together. You’re not being asked to fight in a war unarmed, this is the least you can do for your fellow citizens and your healthcare workers who are actually facing a tidal wave day after day the longer you are allowing this to spread and continue.",87422226,"London, UK",2
107941843,"Right on Wegman.

Sometimes, the American immaturity is astonishing and embarrassing beyond words. Some of us are so worried about how to ""look"" strong when deep inside we may be so insecure. People get obsessed with ""looking strong"" precisely because of their inner insecurity.

Let's work on our inner strength so we can worry less about how we look. And inner strength comes from compassion and empathy. It comes from standing up for the happiness for ALL instead of for the selfishness of the privileged few.",63607972,USA,6
107941756,"There is so much misinformation in this article it’s hard to know where to start. 
Masks may make you feel safer- or like you’re doing something proactive- but recognize it’s simply a form of virtue signaling or theater. 
Nobody has taken the time to study how effective they actually are with coronavirus, in a true randomized study. Doesn’t that bother anyone??  I thought we’re being guided by science?  Here there is none- it just “seems like a good idea”. 
Anyway every day we get closer to herd immunity. Eventually we’ll mostly be infected- at this rate it may thankfully happen by Christmas- when we can all celebrate this being behind us.",53260592,NYC,2
107941575,"No shirt
No shoes
No service
How many times have we as individuals read this sign in a store, restaurant or other public space?  I know I’ve been reading this sign since I was old enough to read. I don’t see any protests about being asked to wear a shirt or shoes in most public spaces. The changing times suggest a new sign:
No shirt 
No shoes 
No mask 
No service",74240578,Washington,6
107941516,"I have come to believe that Trump and the Republican leadership now only do what's best for Putin not the American people.  Who benefits from Trump's stance on not wearing a mask? Not the US.  Who benefits from a resurgence in the virus and further shutdown of our economy? Not the US.  Who benefits from massive casualties? Not the US.  Who benefits by societal and racial unrest and a failure to live up to the ideals expressed in our Constitution?  Not the US.  Who benefits from Americans being sick and impoverished by our failure to provide affordable universal healthcare?  Not the US.  If you want to know the President's or Mitch's position on just about anything all you need to do is ask yourself ""What would Putin want?"" If it damages or deminishes our country, you can bet that'll be Trump, The Republicans and Putin's preferred path.",80595080,"Albany, NY",4
107941335,"Thank you for sharing this opinion. But it may be preaching to the choir. Tragically, those opposed to mask wearing likely won’t be persuaded by this. It’s so unfortunate.

I do want to comment, however, that you’re being a too generous with those who perpetuated the early misteps. It was NEVER understanable or ok to tell people to not wear masks or to state unequivocally that they do not help prevent viral spread. Early on I suggested to everyone I knew that they should mask up with cloth and not take away precious N95 masks, not to protect themselves, but to protect others. It has been well known for years that mask wearers are less likely to spread droplets. I knew this. The health officials and experts certainly knew better. They could have, and should have, sent a simple message to wear CLOTH masks. They inexcusably cost thousands of lives.

Next, the excuse that there was insufficient evidence of asymptomatic spread also carries no water. There was no evidence it could not spread asymptomatically. In light of the supposed lack of evidence, the default should have been to mask up, not the other way around. Why? Becasue the cost of not wearing a mask and being wrong far outweighed the cost of wearing one and being wrong. Any game theorist could have told you that. 

But I agree wholeheartedly that now we all should be wearing masks.  Thank you.",74800720,San Francisco,7
107941265,"I once asked my ophthalmologist about extended wear contact lenses.  He said to me, ""Is it really that difficult to take them out at night and put them in the next morning?""

Really, folks.  Is it that difficult to put a mask on?  Is it so difficult that you would risk others' health and lives by not doing so?

Tom Friedman wrote a column the other day comparing not wearing a mask to drunk driving.  In one way, I submit it is worse.  The drunk driver can only injure or kill a limited number of people in a single crash including people not in the crash but who care deeply about the people who were.  The person who refuses to wear a mask often because ""I don't believe in masks"" seems willing to risk creating a chain of successive infections that may affect tens, hundreds, or thousands of people.

If I had to choose one or the other, I'd rather have the drunk.  At least I can then often take evasive action.",165467,CA,7
107941092,"Many of us are scared. We've been isolated. Our lives shaken up. Scientists now advise masks may not only shield others, they may help the wearer, too. Can we all treat each other like we're all suffering from PTSD, and try to be a little gentle with each other. The only way through this is together.",88841310,"San Diego, CA",11
107941024,"Let's not mince words or give any credence to false equivalence about mask-wearing for example.  This right-wing idea or ideal of"" liberty"" is totally distorted and aligned often with paranoid conspiracy theories about  government control and resentment of so-called elites. lt also overlaps with a peculiarly American narcissism which suggests that individuals have unlimited rights and almost no obligations. Virtually every civilized country recognizes that mask- wearing is part of the social contract, that society can make legitimate demands on you to behave in a way consistent with the greater good. Republican populists and demagogues, and particularly Trump, have attempted to exploit these deviant beliefs and character defects found in a significant subset of the American population.",68015402,mi,14
107940989,"People who wear masks may not be elite of morally superior but they are smarter and more rational. Along with physical distancing and hand washing, wearing a mask significantly decreases their risk of acquiring this disease. Those who do not wear masks increase their chances of becoming infected and dying. I guess it's just another example of natural selection at work.",77624529,Pennsylvania,14
107940910,"After spending most of the past couple of weeks hunkered down in Upstate NY, I was just in the City. these past two days.

While in town, I was pleased to see the near universal donning of masks everywhere I went.  Of course, some folk do need to learn that this includes covering the nose but it's progress.

There were two distinct groups of people, though, who almost never wore masks.

The first group were construction workers.  At almost every job site I passed in Midtown none of the construction workers was wearing a mask.  This included groups gathered at non-social distances on their lunch breaks etc.

The other group was much more disturbing.  It is the NYPD officers on foot patrol in Grand Central.  While most of these cops had masks draped around their neck, none that I saw was properly wearing a mask.  All of those I saw were INSIDE the Terminal.

How can a person in legal authority ever expect to command the respect of others when he the only officers I saw were men blatantly flouts the very law he's supposed to enforce?

Police in general, and NYPD in particular, seem to be almost arrogant in their defiance of both the law and, more importantly, for the safety of others.

The NYPD has already lost much public support since the George Floyd protests.  Their collective behavior such as now refusing to wear masks when on patrol is intolerable.  You cannot expect people to respect you when you do not respect them.  This has to be communicated to the NYPD quickly.",7254545,NY & LA,11
107940794,"I live in Dubai and everyone wears a mask.  I love those videos of boomers flaming out in stores when they’re asked to put on a mask.  Sure it’s your liberty not to wear a mask.  It’s also my liberty to ostracize you for not wearing one.  It’s also a store’s liberty to not let you in when you’re not wearing a mask.  So if you’re so into your liberty not to wear a mask, try to understand everyone else’s liberty to wear one.",47413489,Dubai,15
107940775,"It is essentially false to label the Government's earliest messages about masks as only a ""misstep"".  In fact, those messages helped sow confusion and are still part of the problem.

The surgeon general told the public two things in late February: a stop buying masks because they won't help you and b stop buying masks because health care workers desperately need them.

While it might have been true that the medical field needed masks much more desperately than the public at large, issuing contradictory and false statements always erodes the public's belief in future official statements. 

Worse still, those with bad intentions as well as those who are only misinformed now cling to those early statements as evidence that they should ignore the sound advice that is finally being given. 

And to anyone who is wondering what my irrelevant to this conversation opinion is, yes, of course you should wear a mask.",27605062,Texas,5
107940724,"It's hard for most of us to get our heads around exponential growth. In the early days nobody knows anyone who has the virus. If cases double every day, most people will encounter the virus in the last 24 hours. Suddenly it's everywhere, when only a short day earlier people were saying that the danger was being exaggerated.

People in areas with low infection rates are complacent today because they imagine that the pandemic will continue to grow slowly. They can't imagine what an explosion would look like, much less how quickly it appears. 

The name of the game is to slow the R number reproduction number, which is the number of people each infected person infects.  If the R number is over 1, the pandemic is growing exponentially. If it's under 1, the pandemic is slowing. We have limited tools to slow the reproduction number at present, but face masks are one such tool.

We need to remind each other not to be lulled into complacency by the pandemic's slow climb in their area today. At some point it will inevitably explode unless we get it under control.",76632963,California,9
107940479,"How can the USA manage a pandemic and not suffer economic collapse? That really is the issue.

By testing the population in a scientifically sound manner, the spread across the population can be determined. By testing individuals those infected, immune, and in infected can be determined. Those infected can be isolated while the rest can work and live relatively normally. By assuring that all can reduce their exposure with simple protections like medical grade masks and gloves.

So the problem is that the national government never has been able to assure adequate testing. 

The next problem is the availability of masks that protect and gloves that protect for all people in this country. 

Trump cannot lead the nation because he’s incompetent and he has no conscience.",21896305,Los Angeles,8
107940370,"I agree. Masks are important for keeping you alive and can mean the difference on you getting a full dose of the virus and dying or a smaller dose and just getting ill and living. It's the volume of the particles you breathe in that determines how badly you get the virus.
I live in NZ and we don't have any community transmission of the virus but still wear a mask when ever I'm into a crowded building such as a supermarket or shop. In winter it will also stop the spread of the flu. Masks are important because all hospital workers see them as essential equipment and won't work unless they have masks to wear.
There is a new type of people smuggler around as well, as heard on our news in NZ last evening that in Australia there are people making money out of smuggling people into States that don't allow people into those States. You have to protect yourself from people  who don't care if you catch the virus or not and just looking out for their own self interests.",66479924,Christchurch NZ,8
107940350,"Today was the first time I've been in a Costco store since February.  If you're not wearing a mask, you don't get in.  The customer volume seemed normal, busy.  Apparently, it can be done IF the business owner takes charge of the situation.",62628594,KS,12
107940283,"Next time you don't want to wear a mask while you do 15 to 30 minutes of your shopping, just think of me and my co-workers.  We work in conditions where the air conditioning is not always efficient, and wear masks for shifts that last anywhere from 5 to 8 hours.  Some of our work requires physical labor.  During the five hour sift you get a 15 minute break and 8 hours you get 1 hour, including lunch and breaks.  Also, not every state mandates these rest periods.  So, we have to wear our masks the majority of that time.  If we can do it, so can you.",68625449,"Los Angeles, CA",29
107940270,"Wearing a mask is good sense if you are infected or have been around those that are and because we don’t know definitively if we have been we should be cautious.
 But be aware of their limits. People in masks touch there faces more often that those without. Don’t believe me. Watch how often people in masks adjust them 
More than this, the evidence is that they are only used properly in medical settings. They are the least effective form of protection. Hand washing is at the top of the list. The problem with wearIng a mask in public is that it can lead people to overestimate how protected  they are and lead to sloppiness in other hygiene practices. 
So if we wear masks understanding  their limits and being vigilant about other hygiene practices they will obviously help. 
What will help the most is to rely on yourself to make the best health choices and not those around you to do what you think will keep you safe.",61542048,canada,4
